type,floor,d,fill_rule
ground,S2,M1069.5 83L215.5 2V77L507 105.5V270H919V286H1091.5V529H919V544.5H507V709.5L314.5 713.5V661L82.5 664V691H2V791.5L1075.5 765.5L1069.5 594.5H1103V645.5H1550.5V199.5H1100V206.5H1073.5L1069.5 83ZM571 619V716L715.5 713V619H571ZM1178 283.5V547H1473V283.5H1178Z,evenodd
rooms_blueprint,S2,M755.414 285L807.568 337.154L819.5 326.5L846 352L870.5 328.5H893.5V270.5H618V390H637.086L742.086 285H755.414Z,
rooms_blueprint,S2,M799.5 537.5H768.5V536.914L868.914 436.5H893.5V471H866C866 507.727 836.227 537.5 799.5 537.5Z,
rooms_blueprint,S2,M610.5 436.5V465H624.5V479.25C624.5 492.643 635.357 503.5 648.75 503.5C661.601 503.5 672.118 493.503 672.947 480.862L628.586 436.5H610.5Z,
rooms_blueprint,S2,M680.5 537.5V488.414L729 536.914V537.5H680.5Z,
rooms_blueprint,S2,M742.5 286L629 399.5H610V435.5H629L730 536.5V547H716V554.5H744V580.5H726V584H719V571.5H683.5V568.5H713V555H590.5V568.5H675V571.5H540.5V609.5H555V614.5H549V641H529V644.5H527V641H512.5V676.5H527V652.5H529V709.5H563V609.5H569V595.5H574V609.5H719V595H726V624.5H722V667H722.5V721.5H737.5V772.5L945 766.5V752H959V740H940.5V736.5H945V713.5H995.5V661H951.5V702H945V621H940.5V617.5H945V577H940.5V571.5H945V555H927V571.5H931V577H927V581.5H917.5V571.5H885.5V568.5H891V555H806V568.5H811V571.5H778.5V584H770.5V580.5H755V554.5H783V547H767.5V536.5L868.5 435.5H899V456H906.5V425H961.5L972 435.5H990L1000.5 425H1091.5V408H1000.5L990 397.5H972L961.5 408H906.5V377.5H899V399.5H868.5L755 286H742.5ZM775 721.5V667H775.5V661H796.5V729H798.5V743.467L815.5 742.913V744.914L796.5 745.533V736.5H766.5V721.5H775ZM796.5 655H775.5V624.5H770.5V595H778.5V609.5H820V614.5H796.5V655ZM838 614.5H875V608H838V614.5ZM867.5 743.221L905.033 741.999L905.016 741.5H917.5V749H927.5V599H917.5V608H883V614.5H904V740.032L867.5 741.22V743.221ZM820 571.5V567.5H875V571.5H820ZM955 683.5H992.5V681.5H955V683.5Z,evenodd
rooms_blueprint,S2,M1026.5 407V370H933.5V407H961.086L971.586 396.5H990.414L1000.91 407H1026.5Z,
rooms_blueprint,S2,M933.5 426V463H1026.5V426H1000.91L990.414 436.5H971.586L961.086 426H933.5Z,
ground,S1,M1069.5 83L215.5 2V77L507 105.5V270H919V286H1091.5V529H919V544.5H507V709.5L314.5 713.5V661L82.5 664V691H2V791.5L1075.5 765.5L1069.5 594.5H1103V645.5H1550.5V199.5H1100V206.5H1073.5L1069.5 83ZM571 619V716L715.5 713V619H571ZM916 619H783.5V712L916 709V619ZM1178 283.5V547H1473V283.5H1178Z,evenodd
rooms_blueprint,S1,M648 204.5V120.068L611.57 117.502L611.42 119.497L614 119.705V128.8L597 126.881V179.5H614V190H611.5V192H643.5V121.756L646 121.932V204.5H564.5V98L719 111.5V126.957L675 123.416V127H666V123H664V192H666V186H675V191.5H710V204.5H648Z,
