"source","target","n_total","total_duration_sec","mean","median","date"
"1","1",79005,17656127,223,141,"All"
"1","16",1828,373855,205,138,"All"
"1","20",20021,3634360,182,116,"All"
"1","21",1969,356172,181,123,"All"
"1","22",1271,252893,199,147,"All"
"1","24",636,131929,207,149,"All"
"1","26",235,52251,222,185,"All"
"1","28",1034,217247,210,152,"All"
"1","29",9502,1816888,191,122,"All"
"1","30",5281,1152726,218,153,"All"
"1","31",5587,1184974,212,145,"All"
"1","32",4058,903080,223,162,"All"
"1","33",504,104650,208,168,"All"
"1","34",288,71431,248,190,"All"
"1","35",1624,373416,230,184,"All"
"1","36",4713,1042771,221,188,"All"
"1","37",3162,696608,220,182,"All"
"1","38",4311,906402,210,163,"All"
"1","39",695,163556,235,173,"All"
"1","40",55,11346,206,210,"All"
"1","42",1766,361846,205,162,"All"
"1","43",225,52834,235,203,"All"
"1","44",216,56980,264,233,"All"
"1","45",392,94111,240,200,"All"
"1","46",694,164707,237,214,"All"
"1","47",2895,622140,215,177,"All"
"1","48",2268,563910,249,192,"All"
"1","49",3977,1000482,252,194,"All"
"1","50",8127,2006312,247,201,"All"
"1","51",6775,1486128,219,181,"All"
"1","53",290,53249,184,146,"All"
"1","55",276,45564,165,120,"All"
"1","56",838,142174,170,114,"All"
"1","57",914,236149,258,226,"All"
"1","58",1151,256113,223,178,"All"
"1","59",509,121921,240,190,"All"
"1","72",737,184024,250,164,"All"
"1","80",1244,255895,206,161,"All"
"1","81",1257,284219,226,186,"All"
"1","88",6168,1483316,240,179,"All"
"1","9",33010,6886256,209,136,"All"
"1","96",2320,507524,219,159,"All"
"1","NA",127766,35539042,278,215,"All"
"16","1",1814,517213,285,201,"All"
"16","16",3443,1485501,431,189,"All"
"16","20",650,193264,297,201,"All"
"16","21",77,21862,284,219,"All"
"16","22",69,20007,290,227,"All"
"16","24",25,7140,286,241,"All"
"16","26",8,2256,282,228,"All"
"16","28",63,19504,310,257,"All"
"16","29",489,113520,232,166,"All"
"16","30",10568,2277080,215,124,"All"
"16","31",3245,888556,274,195,"All"
"16","32",1942,661948,341,288,"All"
"16","33",64,27836,435,335,"All"
"16","34",41,15268,372,326,"All"
"16","35",85,29789,350,307,"All"
"16","36",162,38649,239,206,"All"
"16","37",104,31090,299,259,"All"
"16","38",146,33313,228,202,"All"
"16","39",44,20358,463,246,"All"
"16","40",187,59290,317,317,"All"
"16","42",2786,597340,214,151,"All"
"16","43",137,45616,333,318,"All"
"16","44",32,10736,336,310,"All"
"16","45",55,17153,312,297,"All"
"16","46",23,6602,287,293,"All"
"16","47",80,23203,290,279,"All"
"16","48",50,19505,390,318,"All"
"16","49",50,15945,319,288,"All"
"16","50",182,51027,280,219,"All"
"16","51",294,73475,250,208,"All"
"16","53",109,38986,358,303,"All"
"16","55",65,20995,323,328,"All"
"16","56",38,10584,279,265,"All"
"16","57",38,17779,468,346,"All"
"16","58",12,3560,297,272,"All"
"16","59",4,1192,298,290,"All"
"16","72",209,67914,325,331,"All"
"16","80",64,17655,276,154,"All"
"16","81",42,12919,308,139,"All"
"16","88",252,91112,362,288,"All"
"16","9",1191,405075,340,207,"All"
"16","96",13829,3728196,270,166,"All"
"16","NA",3353,1168274,348,280,"All"
"20","1",18576,2886838,155,94,"All"
"20","16",557,99855,179,110,"All"
"20","20",10666,2580900,242,161,"All"
"20","21",36347,5233675,144,100,"All"
"20","22",12553,2143983,171,118,"All"
"20","24",2835,756497,267,254,"All"
"20","26",1911,473373,248,234,"All"
"20","28",589,132608,225,201,"All"
"20","29",2235,426677,191,139,"All"
"20","30",1352,243106,180,114,"All"
"20","31",1483,249565,168,106,"All"
"20","32",2587,671907,260,268,"All"
"20","33",8706,1831241,210,178,"All"
"20","34",661,222823,337,327,"All"
"20","35",4001,1051723,263,276,"All"
"20","36",18709,6183096,330,328,"All"
"20","37",2224,701866,316,324,"All"
"20","38",936,225468,241,237,"All"
"20","39",371,104877,283,306,"All"
"20","40",51,15185,298,290,"All"
"20","42",747,173834,233,229,"All"
"20","43",317,100960,318,314,"All"
"20","44",441,148826,337,322,"All"
"20","45",726,233363,321,322,"All"
"20","46",344,109638,319,336,"All"
"20","47",8363,2469389,295,294,"All"
"20","48",6049,1303188,215,182,"All"
"20","49",2618,615171,235,213,"All"
"20","50",2022,493458,244,264,"All"
"20","51",2888,837242,290,309,"All"
"20","53",73,18558,254,284,"All"
"20","55",101,29218,289,281,"All"
"20","56",1327,407395,307,302,"All"
"20","57",786,248280,316,323,"All"
"20","58",1819,436551,240,215,"All"
"20","59",258,70137,272,268,"All"
"20","72",187,31388,168,99,"All"
"20","80",531,114647,216,190,"All"
"20","81",324,71672,221,190,"All"
"20","88",1838,277903,151,91,"All"
"20","9",9027,1323494,147,89,"All"
"20","96",746,150355,202,138,"All"
"20","NA",31828,6277718,197,127,"All"
"21","1",1914,240119,125,81,"All"
"21","16",49,7839,160,88,"All"
"21","20",19605,1785859,91,58,"All"
"21","21",1034,186189,180,71,"All"
"21","22",40648,3957694,97,70,"All"
"21","24",5409,656950,121,92,"All"
"21","26",1175,175651,149,106,"All"
"21","28",61,8796,144,66,"All"
"21","29",128,18113,142,80,"All"
"21","30",120,18947,158,111,"All"
"21","31",126,17328,138,88,"All"
"21","32",187,30748,164,93,"All"
"21","33",184,28086,153,121,"All"
"21","34",134,22299,166,77,"All"
"21","35",3494,437400,125,86,"All"
"21","36",1907,270421,142,96,"All"
"21","37",246,34430,140,91,"All"
"21","38",102,14259,140,103,"All"
"21","39",40,5325,133,86,"All"
"21","40",4,2786,696,348,"All"
"21","42",77,12786,166,102,"All"
"21","43",22,5091,231,324,"All"
"21","44",23,3457,150,92,"All"
"21","45",94,14904,159,108,"All"
"21","46",44,5555,126,57,"All"
"21","47",455,80509,177,117,"All"
"21","48",153,22998,150,103,"All"
"21","49",98,16615,170,128,"All"
"21","50",256,34996,137,90,"All"
"21","51",312,43286,139,91,"All"
"21","53",9,1201,133,82,"All"
"21","55",3,183,61,62,"All"
"21","56",57,12388,217,224,"All"
"21","57",41,8332,203,139,"All"
"21","58",52,8584,165,106,"All"
"21","59",8,1557,195,136,"All"
"21","72",16,1590,99,72,"All"
"21","80",40,9816,245,148,"All"
"21","81",21,2554,122,68,"All"
"21","88",174,25644,147,87,"All"
"21","9",768,101362,132,84,"All"
"21","96",74,11511,156,112,"All"
"21","NA",4125,707950,172,105,"All"
"22","1",2558,418127,163,104,"All"
"22","16",56,8707,155,122,"All"
"22","20",11105,1375821,124,85,"All"
"22","21",16604,1790397,108,70,"All"
"22","22",8470,982096,116,74,"All"
"22","24",26143,2856104,109,86,"All"
"22","26",5855,709567,121,94,"All"
"22","28",103,19512,189,112,"All"
"22","29",289,48425,168,106,"All"
"22","30",157,24917,159,100,"All"
"22","31",146,22909,157,106,"All"
"22","32",261,44173,169,110,"All"
"22","33",174,30904,178,112,"All"
"22","34",432,70248,163,101,"All"
"22","35",15729,1770402,113,80,"All"
"22","36",10381,1655589,159,116,"All"
"22","37",919,169773,185,128,"All"
"22","38",230,38590,168,109,"All"
"22","39",84,16884,201,162,"All"
"22","40",7,983,140,89,"All"
"22","42",101,17220,170,129,"All"
"22","43",33,4546,138,83,"All"
"22","44",27,4933,183,118,"All"
"22","45",249,42528,171,120,"All"
"22","46",135,22326,165,99,"All"
"22","47",1665,320196,192,131,"All"
"22","48",389,70611,182,127,"All"
"22","49",277,62138,224,185,"All"
"22","50",744,137134,184,130,"All"
"22","51",953,172590,181,116,"All"
"22","53",13,2518,194,124,"All"
"22","55",3,399,133,17,"All"
"22","56",81,15891,196,101,"All"
"22","57",95,12495,132,72,"All"
"22","58",68,12917,190,134,"All"
"22","59",20,4609,230,250,"All"
"22","72",22,3364,153,112,"All"
"22","80",112,24062,215,181,"All"
"22","81",65,11607,179,92,"All"
"22","88",197,33677,171,101,"All"
"22","9",921,165975,180,120,"All"
"22","96",115,22487,196,149,"All"
"22","NA",6437,1173668,182,122,"All"
"24","1",1055,265744,252,227,"All"
"24","16",40,13702,343,346,"All"
"24","20",2060,566598,275,194,"All"
"24","21",1374,309452,225,142,"All"
"24","22",11311,2291608,203,134,"All"
"24","24",3323,878423,264,112,"All"
"24","26",7900,1807615,229,167,"All"
"24","28",118,33676,285,217,"All"
"24","29",183,50257,275,265,"All"
"24","30",82,24542,299,298,"All"
"24","31",84,23199,276,250,"All"
"24","32",205,58619,286,241,"All"
"24","33",174,48169,277,240,"All"
"24","34",501,145410,290,287,"All"
"24","35",13437,2980758,222,169,"All"
"24","36",8582,1922441,224,169,"All"
"24","37",747,182220,244,207,"All"
"24","38",184,52627,286,244,"All"
"24","39",70,16933,242,177,"All"
"24","40",6,1922,320,332,"All"
"24","42",66,18101,274,262,"All"
"24","43",39,15151,388,357,"All"
"24","44",74,28089,380,300,"All"
"24","45",308,90369,293,294,"All"
"24","46",125,34549,276,241,"All"
"24","47",1136,305216,269,212,"All"
"24","48",245,60792,248,203,"All"
"24","49",205,54382,265,186,"All"
"24","50",313,75189,240,189,"All"
"24","51",870,211798,243,204,"All"
"24","53",9,2217,246,293,"All"
"24","55",12,3712,309,376,"All"
"24","56",74,18541,251,249,"All"
"24","57",121,37154,307,252,"All"
"24","58",73,16928,232,191,"All"
"24","59",14,6666,476,252,"All"
"24","72",11,3205,291,298,"All"
"24","80",121,35158,291,215,"All"
"24","81",33,6852,208,183,"All"
"24","88",102,32374,317,300,"All"
"24","9",446,123422,277,259,"All"
"24","96",77,20232,263,248,"All"
"24","NA",3274,898643,274,258,"All"
"26","1",1129,299601,265,281,"All"
"26","16",55,17670,321,328,"All"
"26","20",7984,1965837,246,223,"All"
"26","21",372,89864,242,231,"All"
"26","22",1601,266908,167,139,"All"
"26","24",1733,301522,174,150,"All"
"26","26",1834,246472,134,60,"All"
"26","28",79,20665,262,281,"All"
"26","29",146,42642,292,318,"All"
