floor,room,id_ap_3,x,y,type
S2,001,NA,980,416.5,room
S2,187,NA,850,591.5,room
S2,186,28,850,661.5,room
S2,175,NA,973,671.5,room
S2,176,NA,973,691.5,room
S1,100,NA,715,202.5,room
S1,101,96,650,227.5,room
S1,102,16,655,162.5,room
S1,103,NA,749,197.5,room
S1,398,NA,749,251.5,other
S1,400,9,866,227.5,other
S1,104,NA,749,162.5,room
S1,105,NA,835,162.5,room
S1,106,NA,793,197.5,room
S1,130,31,980,449.5,room
S1,131,31,980,382.5,room
S1,405,21,1039,416.5,other
S1,406,NA,1133,385.5,other
S1,132,20,1147,418.5,room
S1,133,22,1257,418.5,room
S1,311,NA,1330,246.5,room
S1,312,NA,1367,228.5,room
S1,134,24,1361,534.5,room
S1,323,NA,1506,464.5,room
S1,413,24,1361,555.5,other
S1,135,26,1257,486.5,room
S1,136,NA,1147,471.5,room
S1,137,NA,1147,501.5,room
S1,160,NA,647,589.5,room
S1,161,NA,693,562.5,room
S1,388,NA,749,594.5,other
S1,162,NA,623,562.5,room
S1,163,NA,582,589.5,room
S1,164,NA,555,589.5,room
S1,165,NA,555,624.5,room
S1,166,NA,555,648.5,room
S1,167,NA,520,648.5,room
S1,168,NA,555,668.5,room
S1,169,NA,555,690.5,room
S1,170,NA,850,589.5,room
S1,171,NA,850,561.5,room
S1,172,NA,936,591.5,room
S1,173,NA,936,690.5,room
S1,174,NA,973,670.5,room
S1,378,NA,973,706.5,other
S1,176,NA,936,750.5,room
S1,177,NA,953,746.5,room
S1,178,NA,924,756.5,room
S1,179,NA,874,747.5,room
S1,180,80,862,737.5,room
S1,181,NA,832,749.5,room
S1,182,NA,764,741.5,room
S1,385,38,749,761.5,other
S1,432,NA,749,420.5,other
S1,183,29,749,673.5,room
S1,184,NA,726,664.5,room
S1,185,80,850,664.5,room
S1,416,28,899,644.5,other
S1,338,NA,1332,599.5,room
RC,200,30,625,238.5,room
RC,86,1,641,228.5,other
RC,156,31,660,215.5,other
RC,201,30,612,238.5,room
RC,202,30,595,238.5,room
RC,203,30,574,238.5,room
RC,204,30,574,216.5,room
RC,205,30,554,238.5,room
RC,206,30,536,238.5,room
RC,207,NA,548,216.5,room
RC,208,NA,548,196.5,room
RC,209,30,548,179.5,room
RC,210,NA,548,159.5,room
RC,211,30,548,134.5,room
RC,212,30,556,89.5,room
RC,213,30,573,72.5,room
RC,214,30,600,74.5,room
RC,215,NA,628,58.5,room
RC,216,30,628,76.5,room
RC,217,30,626,95.5,room
RC,218,NA,661,78.5,room
RC,219,42,791,90.5,room
RC,220,42,811,92.5,room
RC,221,42,831,94.5,room
RC,222,42,851,96.5,room
RC,223,NA,872,78.5,room
RC,224,NA,868,116.5,room
RC,225,32,890,99.5,room
RC,226,32,922,102.5,room
RC,227,32,969,106.5,room
RC,228,32,949,166.5,room
RC,229,32,986,166.5,room
RC,230,32,1037,166.5,room
RC,231,NA,1037,247.5,room
RC,232,NA,1002,247.5,room
RC,233,32,952,247.5,room
RC,234,32,927,216.5,room
RC,15,32,957,214.5,other
RC,144,NA,944,216.5,other
RC,18,NA,1038,219.5,other
RC,235,NA,927,228.5,room
RC,236,32,894,228.5,room
RC,12,NA,841,228.5,other
RC,148,NA,811,241.5,other
RC,302,53,831,241.5,other
RC,400,9,851,241.5,other
RC,300,33,1136,360.5,room
RC,211,48,1110,367.5,other
RC,405_2,NA,1104,379.5,other
RC,58,20,1153,379.5,other
RC,210,48,1140,391.5,other
RC,2017,NA,1140,442.5,other
RC,57,49,1153,442.5,other
RC,405_3,NA,1104,454.5,other
RC,368,58,1110,360.5,other
RC,406_2,NA,1110,353.5,other
RC,301,33,1136,331.5,room
RC,302,33,1136,305.5,room
RC,303,33,1136,275.5,room
RC,304,33,1136,247.5,room
RC,305,33,1085,247.5,room
RC,306,33,1184,247.5,room
RC,307,NA,1221,247.5,room
RC,308,NA,1261,219.5,room
RC,309,NA,1261,247.5,room
RC,310,NA,1283,231.5,room
RC,401,NA,1303,238.5,other
RC,402,NA,1338,238.5,other
RC,313,NA,1363,231.5,room
RC,314,NA,1391,247.5,room
RC,315,34,1427,247.5,room
RC,316,34,1471,247.5,room
RC,317,34,1520,252.5,room
RC,177,45,1507,242.5,other
RC,318,NA,1520,213.5,room
RC,319,NA,1530,320.5,room
RC,320,34,1505,284.5,room
RC,321,NA,1505,320.5,room
RC,414,NA,1481,356.5,other
RC,322,NA,1505,370.5,room
RC,324,NA,1505,498.5,room
RC,325,NA,1531,471.5,room
RC,326,NA,1531,540.5,room
RC,327,NA,1519,577.5,room
RC,328,NA,1533,602.5,room
RC,329,NA,1519,623.5,room
RC,187,NA,1507,608.5,other
RC,330,35,1481,623.5,room
RC,331,35,1459,614.5,room
RC,332,35,1427,614.5,room
RC,333,35,1397,614.5,room
RC,334,35,1469,583.5,room
RC,335,35,1435,583.5,room
RC,336,35,1405,583.5,room
RC,337,35,1371,583.5,room
RC,339,36,1278,583.5,room
RC,340,36,1254,583.5,room
RC,341,36,1228,583.5,room
RC,342,36,1206,583.5,room
RC,343,36,1185,583.5,room
RC,198,47,1167,595.5,other
RC,355,47,1167,588.5,other
RC,344,36,1228,615.5,room
RC,345,36,1128,615.5,room
RC,346,36,1128,583.5,room
RC,347,NA,1085,573.5,room
RC,348,NA,1141,512.5,room
RC,400,81,553,632.5,room
RC,401,81,553,651.5,room
RC,402,NA,553,669.5,room
RC,403,NA,643,591.5,room
RC,83,50,563,591.5,other
RC,328,NA,535,581.5,other
RC,392,NA,535,574.5,other
RC,393,NA,541,640.5,other
RC,235,51,541,633.5,other
RC,404,NA,746,591.5,room
RC,405,38,746,662.5,room
RC,406,NA,846,591.5,room
RC,374,NA,774,582.5,other
RC,386,29,760,611.5,other
RC,388_2,NA,774,575.5,other
RC,407,NA,998,591.5,room
RC,373,NA,958,591.5,other
RC,218,NA,958,581.5,other
RC,409,NA,1043,603.5,room
RC,408,NA,1037,565.5,room
RC,410,37,1043,641.5,room
RC,411,37,1043,669.5,room
RC,412,37,1043,696.5,room
RC,413,37,1043,730.5,room
RC,414,37,987,730.5,room
RC,415,NA,973,708.5,room
RC,416,NA,949,730.5,room
RC,417,NA,929,730.5,room
RC,418,NA,929,654.5,room
RC,419,NA,972,654.5,room
RC,420,37,1009,626.5,room
RC,421,37,1009,654.5,room
RC,422,37,1009,668.5,room
RC,423,37,1009,688.5,room
RC,424,39,174,688.5,room
RC,417,39,114,728.5,other
RC,418,39,148,698.5,other
RC,425,NA,221,688.5,room
RC,426,NA,256,676.5,room
RC,427,NA,285,718.5,room
RC,428,NA,320,737.5,room
RC,429,NA,239,737.5,room
RC,430,NA,221,737.5,room
RC,431,39,203,737.5,room
RC,432,39,185,737.5,room
