floor,room,x,y,type
S2,001,980,416.5,room
S2,187,850,591.5,room
S2,186,850,661.5,room
S2,175,973,671.5,room
S2,176,973,691.5,room
S1,100,715,202.5,room
S1,101,650,227.5,room
S1,102,655,162.5,room
S1,103,749,197.5,room
S1,398,749,251.5,other
S1,400,866,227.5,other
S1,104,749,162.5,room
S1,105,835,162.5,room
S1,106,793,197.5,room
S1,130,980,449.5,room
S1,131,980,382.5,room
S1,405,1039,416.5,other
S1,406,1133,385.5,other
S1,132,1147,418.5,room
S1,133,1257,418.5,room
S1,311,1330,246.5,room
S1,312,1367,228.5,room
S1,134,1361,534.5,room
S1,323,1506,464.5,room
S1,413,1361,555.5,other
S1,135,1257,486.5,room
S1,136,1147,471.5,room
S1,137,1147,501.5,room
S1,160,647,589.5,room
S1,161,693,562.5,room
S1,388,749,594.5,other
S1,162,623,562.5,room
S1,163,582,589.5,room
S1,164,555,589.5,room
S1,165,555,624.5,room
S1,166,555,648.5,room
S1,167,520,648.5,room
S1,168,555,668.5,room
S1,169,555,690.5,room
S1,170,850,589.5,room
S1,171,850,561.5,room
S1,172,936,591.5,room
S1,173,936,690.5,room
S1,174,973,670.5,room
S1,378,973,706.5,other
S1,176,936,750.5,room
S1,177,953,746.5,room
S1,178,924,756.5,room
S1,179,874,747.5,room
S1,180,862,737.5,room
S1,181,832,749.5,room
S1,182,764,741.5,room
S1,385,749,761.5,other
S1,432,749,420.5,other
S1,183,749,673.5,room
S1,184,726,664.5,room
S1,185,850,664.5,room
S1,416,899,644.5,other
S1,338,1332,599.5,room
RC,200,625,238.5,room
RC,86,641,228.5,other
RC,156,660,215.5,other
RC,201,612,238.5,room
RC,202,595,238.5,room
RC,203,574,238.5,room
RC,204,574,216.5,room
RC,205,554,238.5,room
RC,206,536,238.5,room
RC,207,548,216.5,room
RC,208,548,196.5,room
RC,209,548,179.5,room
RC,210,548,159.5,room
RC,211,548,134.5,room
RC,212,556,89.5,room
RC,213,573,72.5,room
RC,214,600,74.5,room
RC,215,628,58.5,room
RC,216,628,76.5,room
RC,217,626,95.5,room
RC,218,661,78.5,room
RC,219,791,90.5,room
RC,220,811,92.5,room
RC,221,831,94.5,room
RC,222,851,96.5,room
RC,223,872,78.5,room
RC,224,868,116.5,room
RC,225,890,99.5,room
RC,226,922,102.5,room
RC,227,969,106.5,room
RC,228,949,166.5,room
RC,229,986,166.5,room
RC,230,1037,166.5,room
RC,231,1037,247.5,room
RC,232,1002,247.5,room
RC,233,952,247.5,room
RC,234,927,216.5,room
RC,15,957,214.5,other
RC,144,944,216.5,other
RC,18,1038,219.5,other
RC,235,927,228.5,room
RC,236,894,228.5,room
